english,part_of_speech,alutiiq_north,north_audio,north_sentence,alutiiq_south,south_audio,south_sentence,image_name,root_word,category,edited_by,notes,completed,approved
bone(s),Noun,neneq (1); nenret (3+),L2.17.25n.mp3,Iqsak una nenermek pilimauq. - This fishhook is made of bone.,neneq (1); nenret (3+),L2.17.25s.mp3,Iqsak una nenermek pilimauq. - This fishhook is made of bone.,bones.gif,,Body & Health,Alisha,AWOTW,TRUE,
blanket,Noun,ulik,L1.04.10n.mp3,Una ulik aturnirtuq. - This blanket is comfortable.,ulik,L1.04.10s.mp3,Una ulik aturnirtuq. - This blanket is comfortable.,blanket.gif,,Household,Alisha,AWOTW,TRUE,
cloud; sky,Noun,qilak,cloud.mp3,Qilaruartuq ernerpak. - It's kind of cloudy today.,qilak,,Qilaruartuq ernerpak. - It's kind of cloudy today.,cloud.gif,,Weather,Alisha,AWOTW,TRUE,
deer; caribou,Noun,tuntuq (1); tuntuk (2); tuntut (3+),deer.mp3,Tuntumek pisurlita. - Let's hunt caribou/deer.,tuntuq (1); tuntuk (2); tuntut (3+),,Tuntumek pisurlita. - Let's hunt caribou/deer.,SKW_141.gif,,"Animals, Food & Kitchen",Alisha,AWOTW,TRUE,
church,Noun,agayuwik,L1.09.06n.mp3,Agayutaartukut agayuwigmi. - We always pray at the church.,agayuwik,L1.09.06s.mp3,Agayutaartukut agayuwigmi. - We always pray at the church.,church.gif,,Community & Work,Alisha,AWOTW,TRUE,
gun,Noun,nutek,L2.17.08n.mp3,Nutka naama? - Where is my gun?,nutek,L2.17.08s.mp3,Nutka naama? - Where is my gun?,15812900(1).gif,,"Household, Household, Community & Work, Community & Work",Alisha,AWOTW,TRUE,
"see you (again), I'll; goodbye",Verb,tang'rciqamken (cali),L1.01.02n.mp3,Tang'rciqamken camiku. - I will see you again sometime.,tang'rciqamken (cali),L1.01.02s.mp3,Tang'rciqamken camiku. - I will see you again sometime.,,tang'r-,Greetings & Expressions,Alisha,AWOTW,TRUE,
head,Noun,nasquq,L1.02.02n.mp3,Nasquqa allrani anq'rtaartuq. - My head sometimes hurts.,nasquq,L1.02.02s.mp3,Nasquqa allrani anq'rtaartuq. - My head sometimes hurts.,Head.gif,,"Body & Health, Body & Health",Alisha,AWOTW,TRUE,
rabbit; hare,Noun,kuskaanaq,rabbit.mp3,,kuskaanaq,,,hare.gif,,"Animals, Food & Kitchen",Alisha,AWOTW,TRUE,
hand,Noun,aigaq,L1.02.21n.mp3,Aigartuuru. - Shake hands (command),aigaq,L1.02.21s.mp3,Aigartuuru. - Shake hands (command),Hand.gif,,Body & Health,Alisha,AWOTW,TRUE,
hammer,Noun,mulut'uuk,L1.17.01n.mp3,Allrani mulut'uuq atu'akamgu aigaqa mulut'uurtaaqa. - Sometimes when I use the hammer I hit my hand.,mulut'uuk,L1.17.01s.mp3,Allrani mulut'uuq atu'akamgu aigaqa mulut'uurtaaqa. - Sometimes when I use the hammer I hit my hand.,fotosearch_skc_066.jpg,,Community & Work,Alisha,"AWOTW, alternative pronunciation: mu_ut'uuk",TRUE,
halibut,Noun,sagiq,L2.11.30n.mp3,Una sagiq ang'uq. - This halibut is big.,sagiq,L2.11.30s.mp3,Una sagiq ang'uq. - This halibut is big.,Halibut.gif,,"Animals, Food & Kitchen",Alisha,AWOTW,TRUE,
house,Noun,engluq,L1.04.01n.mp3,Nutaamek engluliyut. - They are building a new house.,ungluq,L1.04.01s.mp3,Nutaamek ungluliyut. - They are building a new house.,Fotosearch_RES_061.gif,,Household,Alisha,AWOTW,TRUE,
Japanese person,Noun,Yapuun'saaq,japanese.mp3,Yapuun_saat tailliit Attu-men. - The Japanese came to Attu.,Yapuun'saaq,,Yapuun_saat tailliit Attu-men. - The Japanese came to Attu.,SKW_228.gif,,People & Roles,Alisha,AWOTW,TRUE,
"hat, hunting (traditional); visor, bentwood",Noun,caguyaq,L1.08.21n.mp3,Caguyaq kupuramek canamauq. - The hunting hat is made of wood.,caguyaq,L1.08.21s.mp3,Caguyaq kupuramek canamauq. - The hunting hat is made of wood.,HuntingHat.gif,,Clothing & Regalia,Alisha,AWOTW,TRUE,
"salmon, silver; coho",Noun,qakiiyaq,L2.11.31n.mp3,Kuignun itertut qakiiyat. - The silver salmon are entering the creeks.,qakiiyaq,L2.11.31s.mp3,Kuignun itertut qakiiyat. - The silver salmon are entering the creeks.,silversalmon.jpg,,"Animals, Food & Kitchen",Alisha,AWOTW,TRUE,
"salmon, red; sockeye",Noun,niklliq,L2.11.21n.mp3,Nikllit kawirtaartut. - Sockeye salmon are always red.,niklliq,L2.11.21s.mp3,Nikllit kawirtaartut. - Sockeye salmon are always red.,sockeye.jpg,,Animals,Alisha,AWOTW,TRUE,
snail,Noun,ipuk,L1.07.14n.mp3,Ipuk yaamami et'uq. - The snail is on the rock.,ipuk; ac'aruaq,L1.07.14s.mp3,Ipuk yaamami et'uq. - The snail is on the rock.,Fotosearch_FAD_009.gif,,Animals,Alisha,AWOTW,TRUE,
snipe,Noun,kulic'kiiq,L1.15.13n.mp3,"Kulic'kiit miktut, kesiin piturnirtut. - Snipes are small but they taste good.",ku_ic'kiiq,L1.15.13s.mp3,,sandpiper.gif,,Animals,Alisha,AWOTW,TRUE,
snow (on ground),Noun,aniuq,L1.10.25n.mp3,,aniuq,L1.10.25s.mp3,,snowonground.gif,,Weather,Alisha,AWOTW,TRUE,
snow (that is falling),Noun,qaniq,L1.10.24n.mp3,Qaninguq llaami. - It is snowing outside.,qaniq,L1.10.24s.mp3,Qaninguq llaami. - It is snowing outside.,snowfalling.gif,,Weather,Alisha,AWOTW,TRUE,
sod house (traditional),Noun,ciqlluaq,L1.08.16n.mp3,Ciqlluaq tukinallria. - The sod house was comfortable.,ciqlluaq,L1.08.16s.mp3,Ciqlluaq tukinallia. - The sod house was comfortable.,Ciqlluaq.gif,,Household,Alisha,AWOTW,TRUE,
squid,Noun,amikuruaq,squid.mp3,Amikuruanek piturtaartut cali. - Squid are eaten too.,utguiruaq,,,squid2.gif,,Animals,Alisha,"New Word, AWOTW",TRUE,
"hat, spruce root (traditional)",Noun,awirnaq,L1.08.20n.mp3,Awirnaq tuumiaqa. - He is holding a spruce root hat.,awirnaq,L1.08.20s.mp3,Awirnaq tuumiaqa. - He is holding a spruce root hat.,SpruceHat.gif,,Clothing & Regalia,Alisha,AWOTW,TRUE,
star (celestial),Noun,agyaq,L1.12.07n.mp3,Agyat tanqigtut. - The stars are bright.,agyaq,L1.12.07s.mp3,Agyat tanqigtut. - The stars are bright.,star2.gif,,Weather,Alisha,AWOTW,TRUE,
flounder; starry flounder,Noun,waa'uq,L1.07.34n.mp3,Waa'ut piturnirtaartut mikelngut. - The small flounders are tasty.,waa'uq,L1.07.34s.mp3,Waa'ut piturnirtaartut mikelngut. - The small flounders are tasty.,flounder.gif,,Animals,Alisha,AWOTW,TRUE,
Thanksgiving Day,Noun,Quyawim Ernera,,Quyawim Ernera pingaqtaara. - He likes Thanksgiving.,Quyawim Ernera,,Quyawim Ernera pingaqtaara. - He likes Thanksgiving.,fotosearch_col_144.jpg,,Community & Work,Alisha,"Holiday, AWOTW",TRUE,
November; Thanksgiving Moon,Noun,Quyawim Iralua,,,Quyawim Iralua,,,november.gif,,Numbers & Time,Alisha,Month,TRUE,
trash,Noun,callret,L1.20.03n.mp3,Callret imarmi pugtuut. - Trash is floating in the ocean.,callret,L1.20.03s.mp3,Callret imarmi pugtuut. - Trash is floating in the ocean.,15681806.gif,,Household,Alisha,AWOTW,TRUE,
road; trail,Noun,apruteq; aprun,L2.14.08n.mp3,Kuingtua aprutkun. - I am walking down the trail.,apruteq; aprun,L2.14.08s.mp3,,road.jpg,,Environment & Location,Alisha,AWOTW,TRUE,
television; TV,Noun,ulutegwik,L1.04.12n.mp3,,ulutegwik,L1.04.12s.mp3,,skt_053.jpeg,,Household,Alisha,AWOTW,TRUE,
tea,Noun,caayuq,L1.06.17n.mp3,Caayuryugtuten? - Do you want tea?,caayuq,L1.06.17s.mp3,Caayuryugtuten? - Do you want tea?,SKT_126.gif,,Food & Kitchen,Alisha,AWOTW,TRUE,
thread,Noun,klugkaq,L2.17.04n.mp3,,klugkaq,L2.17.04s.mp3,,thread.gif,,Clothing & Regalia,Alisha,AWOTW,TRUE,
"thanks is not necessary; welcome, you are",Verb,quyanaituq,L2.08.02n.mp3,,quyanaituq,L2.08.02s.mp3,,,,Greetings & Expressions,Alisha,,TRUE,
thank you,Other,quyanaa,L1.01.03n.mp3,Quyanaa tailuci. - Thank you all for coming.,quyanaa,L1.01.03s.mp3,Quyanaa tailuci. - Thank you all for coming.,thankful.jpg,,Greetings & Expressions,Alisha,AWOTW,TRUE,
three,Numeral,pingayun,three.mp3,Pingayunek carliangq'rtua. - I have three children.,pingayun,three.mp3,Pingayunek carliangq'rtua. - I have three children.,3.gif,,Numbers & Time,Alisha,AWOTW,TRUE,
teeth,Noun,guutet,L1.02.09n.mp3,Wiinam guutsinai. - The sea lion's big teeth.,guutet,L1.02.09s.mp3,Wiinam guutsinai. - The sea lion's big teeth.,Fotosearch_SKC_097.gif,,Body & Health,Alisha,AWOTW,TRUE,
willow tree,Noun,nimruyaq,L2.13.14n.mp3,,nimruyaq,L2.13.14s.mp3,,willow.gif,,Vegetation,Alisha,"Remembered Word, AWOTW, some refer to willow as ""uqgwingcuk"" - little deciduous trees.",TRUE,
"tree, spruce",Noun,napaq (1); napat (3+),L1.13.02n.mp3,Ag'waneq napangq'rtuq. - Afognak has (spruce) trees.,napaq (1); napat (3+),L1.13.02s.mp3,Ag'waneq napangq'rtuq. - Afognak has (spruce) trees.,spruce.gif,,Vegetation,Alisha,AWOTW,TRUE,
trout,Noun,anciq,L2.11.22n.mp3,Ancinek pisurtaartukuk. - We two used to eat trout.,anciq,L2.11.22s.mp3,Ancinek pisurtaartukuk. - We two used to eat trout.,anciq.jpg,,"Animals, Food & Kitchen",Alisha,AWOTW,TRUE,
"water, fresh",Noun,taangaq,L1.04.18n.mp3,Taangaq pat'snartuq. - The water is cold.,taangaq,L1.04.18s.mp3,Taangaq pat'snartuq. - The water is cold.,Fotosearch_FAD_028.gif,,"Food & Kitchen, Environment & Location",Alisha,AWOTW,TRUE,
weasel,Noun,amitatuk,weasel.mp3,Amitatut nan'ryaartaakenka. - I used to trap weasels.,amitatuk,,Amitatut nan'ryaartaakenka. - I used to trap weasels.,Weasel2.gif,,Animals,Alisha,AWOTW,TRUE,
waves,Noun,qangyut,L2.15.06n.mp3,Qangyut angliyut. - The waves are getting big.,qangyut,L2.15.06s.mp3,Qangyut angliyut. - The waves are getting big.,15624910(1).gif,,"Environment & Location, Environment & Location",Alisha,AWOTW,TRUE,
whale,Noun,ar'uq,whale.mp3,Ar'ut amlertut. - There are many whales.,ar'uq; arwaq (Akhiok),,Ar'ut amlertut. - There are many whales.,whale.gif,,Animals,Alisha,AWOTW,TRUE,
wolf,Noun,kaganaq,wolf.mp3,Kaganat yaqsigtut maaken. - Thw wolves are far from here.,kaganaq,,Kaganat yaqsigtut maaken. - Thw wolves are far from here.,wolf.gif,,Animals,Alisha,AWOTW,TRUE,
woman,Noun,arnaq,woman.mp3,Arnat peknartutaartut. - Women work hard.,arnaq,,Arnat peknartutaartut. - Women work hard.,SKW_250.gif,,People & Roles,Alisha,AWOTW,TRUE,
bugs; worms,Noun,kingut,bugs.mp3,"Tawa kinguk nerningaitua. - No, I won't eat this worm!",kingut,bugs.mp3,"Tawa kinguk nerningaitua. - No, I won't eat this worm!",bugs.gif,,Animals,Alisha,AWOTW,TRUE,
yarrow,Noun,qangananguaq,L2.13.12n.mp3,Qanganangua'itukut Kasukuagni. - We don't have yarrow in Akhiok.,qangananguaq,L2.13.12s.mp3,Qanganangua'itukut Kasukuagni. - We don't have yarrow in Akhiok.,yarrow.jpg,,Vegetation,Alisha,AWOTW,TRUE,
beak,Noun,cug'eq,beak.mp3,Cug'aa ang'uq. - Its beak is big.,cug'eq,beak.mp3,Cug'aa ang'uq. - Its beak is big.,beak.gif,,Animals,Alisha,,TRUE,
arrow,Noun,ruuwaq,L1.08.10n.mp3,Nukallpiat ruuwartaallriit agayuwim tunuani. - The men used to go shoot arrows behind the church.,ruuwaq,L1.08.10s.mp3,Nukallpiat ruuwartaallriit agayuwim tunuani. - The men used to go shoot arrows behind the church.,arrow.gif,,Community & Work,Alisha,AWOTW,TRUE,
"tall (thing), it is",Verb,tak'uq,L1.19.02n.mp3,,tak'uq,L1.19.02s.mp3,,tallobject.gif,,Qualities,Alisha,,TRUE,
angelica,Noun,uriisaq,L2.13.10n.mp3,,uriisaq,L2.13.10s.mp3,,angelica.jpg,,Vegetation,Alisha,AWOTW,TRUE,
Anchorage,Noun,Kicarwik,L2.14-2.22n.mp3,Kicarwigmen agellianga tengausqakun. - I went to Anchorage by airplane.,Kicarwik,L2.14-2.22s.mp3,Kicarwigmen agellianga tengausqakun. - I went to Anchorage by airplane.,Anchorage.gif,,Placenames,Alisha,"New Word, AWOTW",TRUE,
amber (stone),Noun,amaq,,Amat ineqsunartut. - Amber is pretty.,amaq,,Amat ineqsunartut. - Amber is pretty.,amber.jpg,,,Alisha,AWOTW,TRUE,
me; I am,Pronoun,gui,L2.02.07n.mp3,,gui,L2.02.07s.mp3,,,,People & Roles,Alisha,,TRUE,
Alaska,Noun,Alas'kaaq,L2.14-2.01n.mp3,Guangkuta Alas'kaarmiu'at. - We are people of Alaska.,Alas'kaaq,L2.14-2.01s.mp3,Guangkuta Alas'kaarmiut. - We are people of Alaska.,Alaska.gif,,Placenames,Alisha,AWOTW,TRUE,
Akhiok,Noun,Kasukuak,L2.14-2.06n.mp3,Kasukuarmiu'ak taugkuk. - Those two are from Akhiok.,Kasukuak,L2.14-2.06s.mp3,Kasukuarmiuk taugkuk. - Those two are from Akhiok.,Kasukuak.gif,,Placenames,Alisha,AWOTW,TRUE,
Afognak,Noun,Ag'waneq,L2.14-2.10n.mp3,Una Ag'wanermiu'aq. - This one is an Afognak person.,Ag'waneq,L2.14-2.10s.mp3,Una Ag'wanermiuq. - This one is an Afognak person.,Ag'waneq.gif,,Placenames,Alisha,AWOTW,TRUE,
"spicy, it is; bitter, it is",Verb,qatllinartuq,spicy.mp3,,qatllinartuq,spicy.mp3,,SKT_120.gif,,Senses & Emotions,Alisha,,TRUE,
throat; esophagus,Noun,igmauteq,throat.mp3,,igmauteq,throat.mp3,,throat.gif,,Body & Health,Alisha,,TRUE,
stomach,Noun,suqaq,L1.02.25n.mp3,,suqaq,L1.02.25s.mp3,,stomach2.gif,,Body & Health,Alisha,,TRUE,
What color is it?,Complex,Caquciq k_aas'kaat?,WhichColor.mp3,,Caquciq k_aas'kaat?,WhichColor.mp3,,pencils2.jpg,,Greetings & Expressions,Alisha,Color,TRUE,
brother (older),Noun,aningaa(q),L1.03.05n.mp3,,aningaa(q),L1.03.05s.mp3,,brotherolder.gif,,People & Roles,Alisha,"Spelling variant ""anngaa(q)""",TRUE,
underwear,Noun,pluume_'saaq,L1.10.31n.mp3,,iluqlliik,L1.10.31s.mp3,,SKH_056.gif,,Clothing & Regalia,Administrator,,TRUE,
terrorist,Noun,alingnasqaq,terrorist1.mp3,,alingnasqaq,terrorist1.mp3,,criminal_copy2.jpg,alinge-,People & Roles,Administrator,"""scary one"" New Words",TRUE,
"bathroom, I am searching for the",Verb,nuus'hnirsurtua,L2.03.06n.mp3,,nuus'hnirsurtua,L2.03.06n.mp3,,SKH_129.gif,,"Body & Health, Body & Health, Greetings & Expressions, Greetings & Expressions, Physical Actions, Physical Actions",Administrator,Russian,TRUE,
doctor,Noun,taug'ta_aq,l1.09.18nb.mp3,,tuug'ta_aq,l1.09.18sb.mp3,,Fotosearch_EVW_043.gif,,People & Roles,Administrator,,TRUE,
"Elders, our",Noun,cuqllipet,L1.08.00n.mp3,,cuqllipet,L1.08.00n.mp3,,,,People & Roles,Alisha,,TRUE,
health aide; nurse,Noun,taugta'am ikaiyuwa,l1.09.11nb.mp3,,tuugta'am ikaiyuwa,l1.09.11s.mp3,,15684150.gif,,People & Roles,Alisha,,TRUE,
"uncle, your paternal",Noun,atataan,L2.04.29n.mp3,,atataan,l2.04.29n.mp3,,unclepaternal.gif,,People & Roles,Alisha,,TRUE,
"uncle, my maternal",Noun,angaaqa,L2.04.15n.mp3,,angaaqa,l2.04.15n.mp3,,unclematernal.gif,,People & Roles,Alisha,,TRUE,
"snowing, it is",Verb,qaninguq,L2.01.10n.mp3,,qaninguq,l2.01.10s.mp3,,SKH_200.gif,,Weather,Alisha,,TRUE,
above it,Locative,quliini,L1.14.04n.mp3,,quliini,L1.14.04s.mp3,,Bearabovebox.gif,,Environment & Location,Administrator,,TRUE,
again; and; too; also; more,Adverb,cali,L2.20.06n.mp3,,cali,L2.20.06s.mp3,,,,Numbers & Time,Administrator,,TRUE,
"ago, a few days",Adverb,iciwaq,L1.12.19n.mp3,,iciwaq,L1.12.19s.mp3,,,,Numbers & Time,Administrator,,TRUE,
airstrip; airport,Noun,mitgwik,L1.09.07n.mp3,,mitgwik,L1.09.07s.mp3,,runway.gif,,Transportation,Administrator,,TRUE,
Alutiiq ice cream,Noun,pirinaq,,,pirinaq,,,Akutaq.gif,,Food & Kitchen,Administrator,,TRUE,
Alutiiq ice cream,Noun,akutaq,L1.06.31n.mp3,,akutaq,L1.06.31s.mp3,,Akutaq.gif,,Food & Kitchen,Administrator,,TRUE,
American,Noun,Mi_ikaan'saaq,american.mp3,,Mi_ikaan'saaq,american.mp3,,american.gif,,People & Roles,Administrator,,TRUE,
and then,Other,taumi,L2.16.05n.mp3,,taumi,L2.16.05s.mp3,,,,Greetings & Expressions,Administrator,,TRUE,
"angry, s/he was probably",Verb,kumegllumauq,L2.09.26n.mp3,,kum'gllrumauq,L2.09.26s.mp3,,mad.gif,,Senses & Emotions,Administrator,,TRUE,
"ankle, sprained",Noun,quuquuwariiyuq,,,quuquuwariiyuq,,,sprain.gif,,Body & Health,Administrator,Remembered Word,TRUE,
another,Pronoun,alluq,,,alluq,,,,,Numbers & Time,Administrator,,TRUE,
artemisia; wormwood; stinkweed,Noun,caik,L2.13.11n.mp3,,caik,L2.13.11s.mp3,,wormwood.jpg,,Vegetation,Administrator,,TRUE,
"ate it, s/he probably",Verb,pitullruma,L2.09.23n.mp3,,pitullruma,L2.09.23s.mp3,,,,"Body & Health, Physical Actions",Administrator,,TRUE,
ATM; automated teller machine,Noun,akirsurwik,,,akirsurwik,,,fotosearch_evw_032.jpg,,Numbers & Time,Administrator,New Word,TRUE,
"aunt, paternal",Noun,anaanaa(q),aunt1.mp3,,anaanaa(q),aunt1.mp3,,auntpaternal.gif,,People & Roles,Administrator,,TRUE,
"baby, her/his",Noun,carlia; carliani,L2.04.35n.mp3,,carlia; carliani,L2.04.35s.mp3,,holding.gif,,People & Roles,Administrator,,TRUE,
"baby, my",Noun,carliaqa,L2.04.05n.mp3,,carliaqa,L2.04.05s.mp3,,holding.gif,,People & Roles,Administrator,,TRUE,
"baby, your",Noun,carlian,L2.04.20n.mp3,,carlian,L2.04.20s.mp3,,holding.gif,,People & Roles,Administrator,,TRUE,
"babysitting him, s/he is",Verb,carlia'araa,L2.18.04n.mp3,,carlia'araa,L2.18.04s.mp3,,holding.gif,,Community & Work,Administrator,,TRUE,
baking soda,Noun,pugsuut'ruaq,,,pugsuut'ruaq,,,baking_soda.jpeg,,Food & Kitchen,Administrator,New Word,TRUE,
ball,Noun,mayaciik,L1.01.38n.mp3,,mayaciik,L1.01.38s.mp3,,SKW_004.gif,,Communication & Arts,Administrator,,TRUE,
barnacle,Noun,,,,qauq,L1.15.04sb.mp3,,barnacle.jpg,,Animals,Administrator,,TRUE,
barnacles,Noun,qaugtat,L1.15.04n.mp3,,qaugtat,L1.15.04s.mp3,,barnacle_copy1.jpg,,Animals,Administrator,,TRUE,
barrel,Noun,puckaaq,L2.17.14n.mp3,,puckaaq,L2.17.14s.mp3,,698351.gif,,Community & Work,Administrator,,TRUE,
"bat, brown",Noun,keneryaq,brownbat.mp3,,keneryaq,brownbat.mp3,,Bat.gif,,Animals,Administrator,,TRUE,
"bath, take a (command)",Verb,maqiyaa,L1.02.53n.mp3,,maqiyaa,L1.02.53s.mp3,,takeabath.jpg,,"Household, Physical Actions",Administrator,,TRUE,
"bathing, s/he was steam",Verb,maqillria,L2.07.03n.mp3,,maqillia,L2.07.03s.mp3,,steambath.jpg,,"Body & Health, Physical Actions",Administrator,,TRUE,
"bathroom, I need to use the",Verb,nuus'hnircugtua,L2.03.06s.mp3,,nuus'hnircugtua,L2.03.06s.mp3,,SKH_129.gif,,"Body & Health, Body & Health, Greetings & Expressions, Greetings & Expressions, Physical Actions, Physical Actions",Administrator,Russian,TRUE,
"bathroom, I want to use the",Verb,nuus'hniryugtua,L1.02.30n.mp3,,nuus'hniryugtua,L1.02.30n.mp3,,SKH_129.gif,,"Body & Health, Body & Health, Greetings & Expressions, Greetings & Expressions, Physical Actions, Physical Actions",Administrator,Russian,TRUE,
bathroom; outhouse,Noun,nuus'hniik,L1.04.03n.mp3,,nuus'hniik,L1.04.03n.mp3,,fotosearch_res_052_copy1.jpg,,Household,Administrator,Russian,TRUE,
battery,Noun,paat'_iiq,,,paat'_iiq,,,battery.jpg,,Household,Administrator,New Word,TRUE,
beach foods,Noun,qutmek neq'rqat,L2.16.00n.mp3,,qutmek neq'rqat,L2.16.00n.mp3,,beachfoods.gif,,Food & Kitchen,Administrator,,TRUE,
"beach, at the",Locative,qutmi,L2.15.24n.mp3,,qutmi,L2.15.24s.mp3,,SKW_033.gif,,Environment & Location,Administrator,,TRUE,
"beach, from the",Locative,qutmek,L2.14.17n.mp3,,qutmek,L2.14.17s.mp3,,SKW_033.gif,,Environment & Location,Administrator,,TRUE,
"beach, s/he is going to the",Locative,qutmen ag'uq,L2.14.21n.mp3,,qutmen ag'uq,L2.14.21s.mp3,,SKW_033.gif,,Environment & Location,Administrator,,TRUE,
"beach, to the",Locative,qutmen,L2.14.24n.mp3,,qutmen,L2.14.24s.mp3,,SKW_033.gif,,Environment & Location,Administrator,,TRUE,
"bear, large/big brown",Noun,taquka'asinaq,L2.03.18n.mp3,,taquka'asinaq,L2.03.18s.mp3,,15630287.gif,,Animals,Administrator,,TRUE,
"bear, small brown",Noun,taquka'angcuk,L2.03.19n.mp3,,taquka'angcuk,L2.03.19s.mp3,,15632099(1).gif,,Animals,Administrator,,TRUE,
bed,Noun,engleq,L1.04.08n.mp3,,engleq,L1.04.08s.mp3,,SKW_069.gif,,Household,Administrator,,TRUE,
behind it,Locative,tunuani,L1.14.06n.mp3,,tunuani,L1.14.06s.mp3,,Bearbehindbox.gif,,Environment & Location,Administrator,,TRUE,
berry pudding,Noun,,,,iriiyaq,,,,,Food & Kitchen,Administrator,,TRUE,
between them,Locative,qukani,L1.14.07n.mp3,,qukani,L1.14.07s.mp3,,Bearbetweenbox.gif,,Environment & Location,Administrator,,TRUE,
"big, it is; large, it is",Verb,ang'uq,L1.19.17n.mp3,,ang'uq,L1.19.17s.mp3,,big.gif,,Qualities,Administrator,,TRUE,
"bigger than him/her, s/he is",Adjective,angenqaa,L2.10.19n.mp3,,angenqaa,L2.10.19s.mp3,,15764912.gif,,Qualities,Administrator,,TRUE,
binoculars,Noun,qinrutak,binoculars.mp3,,qinrutak,binoculars.mp3,,SKT_029.gif,,Community & Work,Administrator,,TRUE,
bird,Noun,saqullkaaq; saqullkanaq,bird.mp3,,saqullkaaq; saqullkanaq,,,Fotosearch_SKC_133.gif,,Animals,Administrator,,TRUE,
birth control pills,Noun,piluliit qumin'irsuutet,,,pilulit qumin'irsuutet,,,birth_control_pills.jpeg,,Body & Health,Administrator,New Word,TRUE,
black one,Noun,tan'esqaq,L1.06.12n.mp3,,tamlesqaq,L1.06.12s.mp3,,black.gif,,Qualities,Administrator,Color,TRUE,
blackberries,Noun,siksa; auryat; uryat,L1.07.27n.mp3,,auryat,L1.07.27s.mp3,,crowberries.jpeg,,"Food & Kitchen, Vegetation",Administrator,Russian (siksa),TRUE,
bog; swamp; wetland,Noun,maraq,L2.14.14n.mp3,,maraq,L2.14.14s.mp3,,wetlands.jpg,,Environment & Location,Administrator,,TRUE,
"boots, rubber; hip boots (pair)",Noun,a_apak,L1.10.18n.mp3,,a_apak,L1.10.18s.mp3,,rubber_boots.jpg,,Clothing & Regalia,Administrator,,TRUE,
"box, toy",Noun,wamqutat yaasi'at,L1.04.11n.mp3,,wamqutat yaasiit,L1.04.11s.mp3,,14980148(1).gif,,Household,Administrator,,TRUE,
boy,Noun,tan'uraq,boy.mp3,,tan'uraq,boy.mp3,,SKW_216.gif,,People & Roles,Administrator,,TRUE,
brain,Noun,ilquq,L2.09.06n.mp3,,ilquq,L2.09.06s.mp3,,Brain.gif,,Body & Health,Administrator,,TRUE,
"bread, fried; doughnuts",Noun,lipiausqaq,L1.07.25n.mp3,,,,,16127605(1).gif,,Food & Kitchen,Administrator,,TRUE,
bring it (command),Verb,taisgu,L1.01.25n.mp3,,taisgu,L1.01.25s.mp3,,,,Physical Actions,Administrator,,TRUE,
bring it to me (command),Verb,taisgu guamnun,L1.01.26n.mp3,,taisgu guamnun,L1.01.26s.mp3,,,,Physical Actions,Administrator,,TRUE,
broom,Noun,kagiteq,L1.17.03n.mp3,,kagiteq,L1.17.03s.mp3,,broom.gif,,"Household, Household",Administrator,,TRUE,
"brush, tangle of bushes",Noun,ilagnasqat,L2.14.11n.mp3,,ilagnasqat,L2.14.11s.mp3,,,,Environment & Location,Administrator,,TRUE,
"brushing teeth, s/he is",Verb,suugai guut'ni,,,suugai guut'ni,,,Fotosearch_EVW_053.gif,,Household,Administrator,,TRUE,
bucket; pail,Noun,wiit'_uuq,L2.17.13n.mp3,,wiit'_uuq,L2.17.13s.mp3,,fotosearch_skc_072.jpg,,Household,Administrator,,TRUE,
butterfly,Noun,papaac'kaaq,butterfly.mp3,,saqalngatak,,,butterfly3.gif,,Animals,Administrator,,TRUE,
calendar,Noun,kalinta_aq,L1.12.08n.mp3,,kalinta_aq,,,Fotosearch_SWO_010.gif,,Numbers & Time,Administrator,,TRUE,
calendar,Noun,cisllaaq,,,cisllaaq,L1.12.08s.mp3,,Fotosearch_SWO_010.gif,,Numbers & Time,Administrator,,TRUE,
"calm, it is; nice weather, it is",Verb,pinartuq,L2.01.07n.mp3,,pinartuq,L2.01.07n.mp3,,,,Weather,Administrator,,TRUE,
car; truck,Noun,kaa_aq,L1.18.02n.mp3,,kaa_aq,L1.18.02s.mp3,,SKW_078.gif,,Transportation,Administrator,,TRUE,
"card game, a type",Noun,Tu_aak,L2.08.06n.mp3,,Tu_aak,L2.08.06s.mp3,,skt_030.jpg,,Household,Administrator,,TRUE,
"card game, another type of Russian",Noun,Ma_iasaq,L2.08.07n.mp3,,Ma_iasaq,L2.08.07s.mp3,,skt_030_copy1.jpg,,Household,Administrator,,TRUE,
cards,Noun,kaa_'taat,L2.08.19n.mp3,,kaa_'taat,L2.08.19s.mp3,,SKT_030.gif,,Communication & Arts,Administrator,,TRUE,
"cards, cut the (command)",Verb,kaa_taat qupkii,L2.08.16n.mp3,,kaa_taat qupkii,L2.08.16s.mp3,,skt_030_copy2.jpg,,Community & Work,Administrator,,TRUE,
